"sitename","CoreArea","ExtArea"
"ALO_07/1",4153.62058346684,4153.62058346684
"IMH_07/1",36648.7446539832,137976.508116113
"IMH_07/3",14609.9064465465,14609.9064465465
"IMH_07/4",19059.2224289007,19059.2224289007
"IMM_07/1",4438.39765776978,17058.8617919925
"RAH_07/1",6064.50918884502,14875.5029672729
"SUG_07/1",8106.36261786742,66315.0701871751
"SUG_07/2",13904.0204491275,13904.0204491275
"TES_07/1",25145.5257046639,29302.3017515599
"TIB_07/1",8651.40274508714,8651.40274508714
"TIH_07/1",6598.05880028245,75084.6318669319
